pegon,latin
ࢮَامَيْ,ḍame
تَافِىْ,tapi
مُسْلِهَتْ,muslihat
سَاءْجࣤرَوْنَىْ,sa`jěrone
فࣤرُوْنࢮِيْڠَانْ,pěrunḍiṅan
تࣤنْتَارَانَىْ,těntarane
دِيْفَانࣤڮَارَا,difaněgara
لُوْچُوْتِىْ,lucuti
تَڠْكࣤبْ,taṅkěb
سَيْلَوْڠ,seloṅ
مࣤنَادَوْ,měnado
اَتِيْنَىْ,atine
مࣤنْࢮَوْكَولْ,měnḍokol
عُلَمَاءْ٢,'ulama`2
ڠُوْڠسِىْ,ṅuṅsi
ڮُوْنُوْڠ٢,gunuṅ2
فَفَانْ٢,papan2
اَدَوْه,adoh
فࣤرَامِيَانْ,fěramian
ڮࣤطِيْڠِىْ,gěṯiṅi
مُوْڠڮِيْڠ,muṅgiṅ
چࣤڠْكَالَاءَانْ,cěṅkala`an
ۑࣤكُوْلَاهَاكَىْ,ñěkulahake
فُوْتࣤرَا٢نَىْ,putěra2ne
ڠࣤلَارَاڠْ,ṅělaraṅ
كࣤرَاسْ,kěras
تِيْرُوْ٢,tiru2
ڮُوْنࣤمَانَىْ,guněmane
تِيْڠكَاهَىْ,tiṅkahe
سَنْࢮَاڠَانَىْ,sanḍaṅane
ڤࣤرْڮࣤرَاءَانْ,pěrgěra`an
مࣤنْدَوْكَوْلَىْ,měndokole
١٩٠٨,1908
٢٠,20
كُومْفُوْلَانْ,kumpulan
ڮࣤرَاكَانْ,gěrakan
بُوْدِىْ,budi
فࣤمِيْمفِيْن٢نَىْ,pěmimpin2ne
اَلْمَرْحُومْ,al-marẖum
ࢮَوْكْتࣤرْ,ḍoktěr
وَاحِدِيْن,waẖidin
سُوْدِيْرَا,sudira
هُوْصَادَا,huṣada
ࢮَوكْتࣤرْ,ḍoktěr
سُوْطَامَا,suṯama
١٩١٢,1912
شَرِكَةْ,śarikat
فࣤمِيمْفِيْنَىْ,pěmimpine
حَاجِّ,ẖajji
سَمَنْهُوْدِىْ,samanhudi
عُمَرْ,'umar
چَاكࣤرَااَمِيْنَاطَا,cakěraaminaṯa
مُحَمَّدِيَّهْ,muẖammadiyyah
فࣤمِيْمفِيْنَىْ,pěmimpine
اَلْمَرْحُوْم,al-marẖum
دَحْلَانْ,daẖlan
تُوْمُوْلِىْ,tumuli
مُوْنچُولْ,muncul
فَرْتَىْ,parte
فُوْلِتِيْك,pulitik
اِنْࢮِيْسࣤى,inḍisě
١٩٢٦,1926
كُوْمِيْنِيسْ,kuminis
فِمْفِيْن,pimpin
سࣤمَاعُوْن,sěma'un
١٩٢٧,1927
نَاسِيَوْنَالْ,nasional
فِمْفِينْ,pimpin
اِنْسِۑُوْر,insiñur
سُوْكَرْنَا,sukarna
كࣤتِيْڠڮَالَانْ,kětiṅgalan
نَهْضَةُ,nahḏatu
الْعُلَمَاءْ,al-'ulama`
بَيْبَاسْ,bebas
كَاسَرْ,kasar
اَلُوْس,alus
جࣤفَاڠْ,jěfaṅ
دَيْسَيْمبࣤرْ,desemběr
١٩٤١,1941
ڠُمُوْمَاكَىْ,ṅumumake
فࣤرَاڠْ,pěraṅ
قَوْم,qom
سࣤكُوْطُوْ,sěkuṯu
اِڠْڮࣤرِيْس,iṅgěris
اَمِيْرِيْكَا,amirika
فِيْهَاكْ,pihak
١٩٤٢,1942
هِيْنࢮِيَا,hinḍia
تَاءْلُؤْ,ta`lu`
تࣤنْتَارَا,těntara
فَوْلَاهَىْ,folahe
كَادِيَاڮَابَهْ,kadiagabah
اِنْتࣤرِىْ,intěri
كَالُوْوَيْن,kaluwen
اُتَوَا,utawa
رُوْمُوْشَا,rumuśa
كُوْلِىْ,kuli
فࣤكْسَاءَانْ,pěksa`an
جَمَعْ,jama'
اَكِيْهَىْ,akihe
كࣤهُوْرمَاتَانَىْ,kěhurmatane
وَانِيْطَا٢,waniṯa2
رُوْسَاءْ,rusa`
اَغُوسْطُوْس,aġusṯus
١٩٤٥,1945
تَيْنَوْهَيْكَا,tenoheka
١٧,17
اَغُوسْطُوسْ,aġusṯus
ۑَتَاءَاكَىْ,ñata`ake
مࣤرْدِيْكَانَىْ,měrdikane
فࣤرْسِيْࢮَيْنْ,pěrsiḍen
حَتَّى,ẖatta
وَكِيْل,wakil
فࣤرْسِيْࢮَيْن,pěrsiḍen
دِيْنَا,dina
رَيْفُوْلُوْسِىْ,repulusi
كَافَوءْ,kapo`
مَوْه,moh
جَجَاهْ,jajah
سࣤمَارَاڠْ,sěmaraṅ
ڠَامُوْكْ,ṅamuk
كُورْدَا,kurda
تَاࢮَاهِىْ,taḍahi
كُورْبَانَىْ,kurbane
سِطِئْ,siṯi`
مَاهُوْنَىْ,maune
مَيْلُوْ٢,melu2
مَانَيهْ,maneh
دُومْفࣤلِيڠ,dumfěliṅ
تࣤمْفُورْ,těmpur
ࢮࣤسࣤكَانَىْ,ḍěsěkane
رُوْنْࢮِيْڠَانْ,runḍiṅan
مَڠْڮَوْن,maṅgon
لِيْڠڮَارْجَاتِىْ,liṅgarjati
نَوْفَيْمبࣤرْ,nofemběr
١٩٤٦,1946
سُوْرَاةْ,surat
فࣤرْمُوَافَقَتَانْ,pěrmuafaqatan
تَانْࢮَاتَڠَانِىْ,tanḍataṅani
كࣤتُوَانَىْ,kětuane
اُوْتُوْسَانْ,utusan
سُوْتَنْ,sutan
شَهْرِيْر,śahrir
تَنْفَا,tanpa
ڮُوْنَا,guna
٢١,21
جُوْلِىْ,juli
١٩٤٧,1947
رَيْفُوْبࣤلِيْكْ,repubělik
فࣤكَالَوْڠَانْ,fěkaloṅan
ڮࣤنْچَتَانْ,gěncatan
سࣤنْجَاتَا,sěnjata
لَيْرَيْن,leren
مࣤۑࣤرَاڠْ,měñěraṅ
دَيْوَانْ,dewan
كَاأَمَانَانْ,kaamanan
مࣤمْبࣤنْتُؤْ,měmběntu`
كُوْمِيْسِىْ,kumisi
سࣤبُوْت,sěbut
جَانُوَارِىْ,januari
١٩٤٨,1948
تَنْࢮَاتَڠَانِىْ,tanḍataṅani
كَافَلْ,kapal
رِيْنفِيْلْ,rinfil
تࣤرُوْسَىْ,těruse
اَنَاءَاكَىْ,ana`ake
مَيْسْتࣤرْ,mestěr
شَرِيْفُ,śarifu
اَفࣤرِيْلْ,apěril
اُوْرَاڠْ,uraṅ
رِيْنفِيْل,rinfil
دَادࣤرَابَاهَىْ,daděrabahe
اَوْلَيْهَىْ,olehe
ڠࣤدࣤكَاكَىْ,ṅěděkake
نࣤڮَارَا٢,něgara2
بَوْنَيْكَا,boneka
كَايَاطَا,kayaṯa
سُوْمَتࣤرَا,sumatěra
تِيْمُوْر,timur
١٩,19
سَيْفتَمْبࣤرْ,septamběr
كُوْطَا,kuṯa
مَدِيُوْن,madiun
ڮَوْلَوْڠَانْ,goloṅan
كُوْمِيْنِيْس,kuminis
مُوْسَى,musa
فࣤرࣤبُوْتَنْ,pěrěbutan
اَنْجَالَارْ,anjalar
مَاڮࣤتَانْ,magětan
ڠَاوِىْ,ṅawi
صَوْلَوْ,ṣolo
وَانَاڮِيْرِىْ,wanagiri
چࣤفُوْ,cěfu
رࣤمْبَاڠْ,rěmbaṅ
كِيَاهِىْ٢,kiai2
فࣤمِيْمفِيْن٢,pěmimpin2
سࣤمْبࣤلَيْه,sěmběleh
بَرَكَهْ,barakah
بَنْتُوَانَىْ,bantuane
بࣤبَارࣤڠَانْ,běbarěṅan
نَاࢮَاهِىْ,naḍahi
كُوْردَانَىْ,kurdane
سَيْفتَيمْبࣤرْ,seftemběr
كࣤرُوْسُوْهَانْ,kěrusuhan
لࣤرࣤمَّاكَىْ,lěrěmmake
ࢮَيْسَيْمبࣤرْ,ḍesemběr
لَافَاڠَنْ,lapaṅan
تࣤرْبَاڠْ,těrbaṅ
مَاڮُوَا,magua
بَوْمْ,bom
فࣤمِيمْفِيْن٢,pěmimpin2
ۑِيْڠكِيْر,ñiṅkir
دَيْصَا٢,deṣa2
نِيْنࢮَاءَاكَىْ,ninḍa`ake
ڮࣤرِيْليَا,gěrilya
وَاكِيْل,wakil
اَڮُوسْ,agus
سَالِمْ,salim
فَرَا,para
فࣤمِيْمفِيْن,pěmimpin
سِيْڠكِيْرَاكَىْ,siṅkirake
بَڠْكَا,baṅka
اِڠْڮَالْ٢,iṅgal2
ضَرُوْرَةْ,ḏarurat
مَيْستࣤرْ,mestěr
شَفْرُ,śafru
فࣤرَاوِيْرَا,pěrawira
فࣤمࣤرِينْتَهَانْ,pěměrintahan
سُوَاسَانَا,suasana
ڮࣤنْتِيْڠ,gěntiṅ
كَااَمَانَنْ,kaamanan
فࣤرْكُومْفُوْلَنْ,pěrkumpulan
بَوْڠصَا٢,boṅṣa2
سَاءْدُنْۑَا,sa`dunña
اَنْࢮࣤسࣤكْ,anḍěsěk
فࣤمِيمْفِينْ٢,pěmimpin2
اِڠْڮَالَا,iṅgala
بَالَيْئَاكَىْ,baleake
فࣤلُوْڠڮُوْهَانَىْ,pěluṅguhane
اِسْتِيْمَيْوَا,istimewa
بࣤࢮِيْلْ٢لَانْ,běḍil2lan
مَسْئَلَهْ,masalah
رَامْفُوْڠَاكَىْ,rampuṅake
دَالَانْ,dalan
ࢮَامَي,ḍame
نُوْرُوْت,nurut
مَيْهِىْ,mehi
١٩٤٩,1949
رُوْنࢮِيْڠَانْ,runḍiṅan
وِيْوِيْتِىْ,wiwiti
وَاكِيْلَىْ,wakile
فَانْ,pan
رَوْيࣤنْ,royěn
رَيْفُوْبࣤلِيْك,repubělik
ڮࣤرِيْلۑَا,gěrilña
٢٣,23
اَغُوْستُوسْ,aġustus
كَوْنفࣤرَيْنسِىْ,konfěrensi
مَيْجَا,meja
بُوْندࣤرْ,bunděr
ࢮࣤنْهَاكْ,ḍěnhak
سࣤسࣤفُوْهِى,sěsěpuhi
اِنْدِسࣤ,indisě
دَيْنَى,dena
سࣤسࣤفُوْهِىْ,sěsěpuhi
مَنْتࣤرِىْ,mantěri
مَرْسࣤفِيْن,marsěpin
نَوْفِمْبࣤرْ,nofimběr
كࣤتُوتُوْڮَانْ,kětutugan
رُونْࢮِيْڠَانْ,runḍiṅan
شࣤرِكَةْ,śěrikat
بࣤنْتُؤْ,běntu`
كُوَاسَائِىْ,kuasai
لِيَانَىْ,liane
اِيْرِيَانْ,irian
كُوْلَوْن,kulon
كࣤفُوْتُوْسَانْ,kěputusan
سࣤرَانْتَيْئَاكَىْ,sěranteake
جُكْجَا,jukja
كَابِيْنَيتْ,kabinet
بࣤنْتُوْكْ,běntuk
٢٧,27
دَيْسَيمْبࣤرْ,desemběr
مَسࣤرَاهَاكَىْ,masěrahake
كࣤدَوْلَاتَانْ,kědolatan
اُوْفَاچَارَانَىْ,upacarane
اَمْسࣤتࣤرْدَامْ,amsětěrdam
ڠَاكَوْنِىْ,ṅakoni
اَسْعَدْ,as'ad
فَڠَسْطَا,paṅasṯa
لࣤڠْڮَاهَانْ,lěṅgahan
اَكَوْنِىْ,akoni
كࣤدَوْلَاتَانَىْ,kědolatane
كࣤسَاتُوَانْ,kěsatuan
صِفَاتَىْ,ṣifate
وَالِيْكْ,walik
اَصِفَةْ,aṣifat
دُوْمُوْڮِىْ,dumugi
ڠࣤرِيْكِىْ,ṅěriki
رِسَالَةْ,risalat
فُوْڠكَاسِىْ,puṅkasi
نِيْفُونْ,nipun
سَلَّمَ,sallama
وَالْحَمْدُ,wal-ẖamdu
رَبِّ,rabbi
الْعَالَمِيْنَ,al-'alamina
تَمَّتْ,tammat
مِيْتࣤرَا,mitěra
سࣤجَاتِىْ,sějati
نࣤرَاڠَاكَىْ,něraṅake
فࣤكࣤرْتِىْ,pěkěrti
اَڠْࢍِيْتْ,aṅgit
دِيْنَيْڠْ,dineṅ
اِلَيْهِ,ilaihi
تَعَالَى,ta'ala
بِشْرِىْ,biśri
طُبِعَ,ṯubi'a
نَفَقَةِ,napaqati
مَكْتَبَةِ,maktabati
بْنِ,bni
نَبْهَانْ,nabhan
وَاَوْلَادِهِ,waoladihi
بِسُوْرَابَايَا,bisurabaya
اِنْدُوْنِيْسِيَا,indunisia
حُقُوْقُ,ẖuququ
الطَّبْعِ,aṯ-ṯab'i
مَحْفُوْظَةٌ,maẖfuẕatun
لَهُمْ,lahum
بِسْمِ,bismi
الرَّحْمٰنِ,ar-raẖmāni
الرَّحِيْمِ,ar-raẖimi
اِلٰهِىْ,ilāhi
لَسْتُ,lastu
لِلْفِرْدَوْسِ,lilfirdosi
اَهْلًا,ahlan
وَلَا,wala
اَقْوٰى,aqwā
نَارِ,nari
الْجَحِيْمِ,al-jaẖimi
فَهَبْ,fahab
لِىْ,li
تَوْبَةً,tobatan
وَاغْفِرْ,waġfir
ذُنُوْبِىْ,ḋunubi
فَاِنَّكَ,fainnaka
غَافِرُ,ġafiru
الذَّنْبِ,aḋ-ḋanbi
الْعَظِيْمِ,al-'aẕimi
شِعِرْ,śi'ir
بَاࢍُوسْ,bagus
بَاڠࣤتْ,baṅět
مࣤڠࣤرْتِىْ,měṅěrti
دُلُورْ,dulur
لَنَڠْ,lanaṅ
وَادَونْ,wadon
ࢍࣤمَاتِىْ,gěmati
ڠَنْدَارَاكَىْ,ṅandarake
دُوَا,dua
مَوڠْصَا,moṅṣa
وَوڠْكَڠْ,woṅkaṅ
طࣤاطࣤاكࣤر,ṯěṯěkěr
اَمَا,ama
بُوْدِ,budi
فَرَايَوْࢍَا,farayoga
لَاكُوْ,laku
دَوْصَا,doṣa
بَوْلَا,bola
بَالِى,bali
بَوْچَهْ,bocah
فَكࣤرْتِنَىْ,pakěrtine
مࣤرْࢍَا,měrga
فࣤرْࢍَاؤُلَنْ,pěrgaulan
بࣤنْ,běn
دِيْنَانَىْ,dinane
اَوْفَينْ,ofen
اَࢍَامَا,agama
مࣤنْدَادِىْ,měndadi
تُوْتُوْرِىْ,tuturi
تࣤمَاهَانَىْ,těmahane
وَانِىْ,wani
وَوڠْ,woṅ
سࣤفُوهْ,sěfuh
يَينْ,yen
اَيْلِيْڠَاكَىْ,eliṅake
مَالࣤسْ,malěs
فِيْسُوهْ,pisuh
مُوْࢍَا,muga
مِيْࢍُوْنَانِىْ,migunani
مَاهَوسْ,maos
اُوْࢍِىْ,ugi
كَامَانُوڠْسَٰانْ,kamanuṅsāan
سَبࣤنْ,saběn
اُرِيفْ,urif
مࣤسْطِىْ,měsṯi
بُتُوهْ,butuh
مَاڠَنْ,maṅan
بَادَىْ,bade
اَدَڠْ,adaṅ
سࣤكُولْ,sěkul
نُوْتُوْ,nutu
نَنْدُورْ,nandur
مَچُولْ,macul
ڠَڠْࢍَو,ṅaṅgo
كࣤلَامْبِىْ,kělambi
مَوْتَوْڠِىْ,motoṅi
جَاهِيتْ,jait
نࣤنُونْ,něnun
ڠَنْتَيهْ,ṅanteh
رِنَا,rina
رَاصَا,raṣa
كَمَانُوڠْسَانْ,kamanuṅsan
دَيْوَىْ,dewe
كُومْفُولْ,kumpul
مَاچَنْ,macan
اَنَاءْ,ana`
كَاوِيتْ,kawit
چِيْلِئْ,cili`
مِيْكِيْرَاكࣤنْ,mikirakěn
نَصِبْ,naṣib
اَبَوتْ,abot
فَايَهْ,fayah
ࢍَأْ,ga`
رَيْكࣤنْ,rekěn
ڠَومْبَىْ,ṅombe
ۑَنْدَاڠْ,ñandaṅ
بُوْتُوهْ,butuh
چُكُوْفِىْ,cukupi
اُوْࢍَا,uga
وَاجِبْ,wajib
بࣤكْتَيْنِىْ,běkteni
نُوْلَيَانِىْ,nulayani
مُونْدَاءْ,munda`
ࢍࣤتُونْ,gětun
وِسْ,wis
سَوْڠࢍَا,soṅga
ڠَنْدُوتْ,ṅandut
سَڠَاڠْ,saṅaṅ
وُلَنْ,wulan
بَابُوْ,babu
اَۑُوْسَوْنَىْ,añusone
اَيْيَوْوَئِىْ,eyowe
اَڠࣤدُوْسِىْ,aṅědusi
ڠِيْسِئْ,ṅisi`
اِيْسِيئْ,isi`
رِيْسِىْ,risi
لَالِىْ,lali
وِيْدِىْ,widi
فَامࣤرَينْتَهْ,faměrentah
كِتَا,kita
ڠࣤرْتِىْ,ṅěrti
فَامࣤرِنْتَهْ,faměrintah
ڠَاتُورْ,ṅatur
سَمُوْبَارَاڠْ,samubaraṅ
وَوْڠْكَڠْ,woṅkaṅ
ظَالِمْ,ẕalim
كَمْفَكْ,kamfak
بَيْࢍَالْ,begal
عَادِلِىْ,'adili
كَافࣤنْتِڠَانْ,kapěntiṅan
عُمُومْ,'umum
كَاصِحَاتَنْ,kaṣiẖatan
كَامَعْمُوْرَانْ,kama'muran
فࣤنْدِيْدِيْكَانْ,pěndidikan
فࣤڠَاجَرَانْ,pěṅajaran
كࣤرࣤتࣤكْ,kěrětěk
دَلَانْ,dalan
اَوْفَيْنِىْ,openi
طَاطَا,ṯaṯa
كَڠْࢍَوْ,kaṅgo
كَافࣤنْتِيْڠَانْ,kapěntiṅan
رَاطَا,raṯa
تُونْدُؤْ,tundu`
مَمْفَاڠْ,mamfaṅ
بَينْتُوْ,bentu
كࣤبَنْ,kěban
دَا,da
ࢍࣤمَمْفَاڠْ,gěmamfaṅ
مُرِيدْ,murid
ࢍُوْرُوْ,guru
فِينْتࣤرْ,pintěr
دَادِ,dadi
فَڠْكَتْ,paṅkat
بࣤنࣤرْ,běněr
حُرْمَةْ,ẖurmat
لُوِيهْ٢,luwih2
تِيْرُوْ,tiru
سِيْكࣤفْ,sikěf
كَونْچَا,konca
تࣤفَا,těfa
سࣤلِيْرَا,sělira
دُوَيْ,duwe
كِيْرَا٢,kira2
اَدَبْ,adab
طَا٢,ṯa2
فࣤرَيَوْࢍَا,fěrayoga
تࣤتࣤفِىْ,tětěpi
دُوْࢍَا,duga
وࣤرْنَانَىْ,wěrnane
تُوْلَادَانَىْ,tuladane
كَاىَ,kaya
اَرِيسْ,aris
دࣤمࣤنْ,děměn
نࣤࢍَارَانَىْ,něgarane
وَادِىْ,wadi
كُوْمَالُوْهُورْ,kumaluhur
تُوْمِنْدَائَا,tumindaa
فࣤرْسَاجَا,pěrsaja
ࢍَوْلَيْئْ,gole`
كَوْنْچَا,konca
بَوْچَهْ٢,bocah2
ࢍࣤمَاࢍُوسْ,gěmagus
اَدَابَىْ,adabe
ڠࣤرُڠُؤْاَكَىْ,ṅěruṅu`ake
ࢍُوْنࣤمَانَىْ,guněmane
اَوْمَوْڠِىْ,omoṅi
مَادࣤفْ,maděf
مِيْرࣤڠْنَا,mirěṅna
حَاجَةْ,ẖajat
تَاكَونْ,takon
كَنْتِىْ,kanti
وُسْ,wus
رَامْفُوڠْ,ramfuṅ
ڠࣤنْدِيْكَانَىْ,ṅěndikane
تِيتِىْ,titi
تَاكَوْنِىْ,takoni
لَانْچَاڠْ,lancaṅ
جَوَابْ,jawab
بࣤرَاڠَسَانْ,běraṅasan
كࣤرَامَانَىْ,kěramane
ࢍُوْنࣤمَانْ,guněman
اَوْمَوڠْ,omoṅ
مَانِسْ,manis
رَيْوَيلْ,rewel
چَارِيْوِيسْ,cariwis
تࣤمْبُوڠْ,těmbuṅ
نَاتَوْنِىْ,natoni
رِيڠْ,riṅ
وَانَيْنِىْ,waneni
اَرَاڠْ,araṅ
رِيْكَتْ,rikat
نَڠِيڠْ,naṅiṅ
مَجَانَا,majana
كࣤبَينْ,kěben
سࣤمَاڠࣤتْ,sěmaṅět
سࣤسࣤرَاوُوْڠَنْ,sěsěrawuṅan
نَكَالْ,nakal
سࣤرَاوُوْڠَنْ,sěrawuṅan
نِيْرَا,nira
رَاهِىْ,rahi
اَجَيرْ,ajer
لࣤمࣤسْ,lěměs
اَنْدَافْ,andaf
تِڠْكَهْ,tiṅkah
كَنْدَسْ,kandas
لُومْبَاڠْ,lumbaṅ
فُوڠْكَاسَانَىْ,fuṅkasane
اَڠَيلْ,aṅel
ࢍَمْفَاڠْ,gamfaṅ
ڠࣤرࣤكْصَا,ṅěrěkṣa
اَوَاكْ,awak
اَوَاءْ,awa`
صِحَةْ,ṣiẖat
سࣤرِيڠْ,sěriṅ
مَڠَانْ,maṅan
كࣤمْفࣤرَوهْ,kěmpěroh
كࣤطَوهْ,kěṯoh
ࢍࣤرࣤࢍࣤسْ٢,gěrěgěs2
رِيْكَاتْ,rikat
مُونْدُوتْ,mundut
تَومْبَا,tomba
اِڠْࢍَالْ,iṅgal
كَدُوڠْ,kaduṅ
رُوْࢍِىْ,rugi
فࣤرَايَوْࢍِىْ,fěrayogi
بࣤچِيكْ,běcik
وِسُوْه,wisuh
دِسِئْ,disi`
تَڠَانْ,taṅan
مُوْلُؤْ,mulu`
چِيْلِئْ٢,cili`2
ۑࣤبُوةْ,ñěbut
بࣤرْكَةْ,běrkat
نَجَانْ,najan
رَادَا,rada
لَاوُوهْ,lawuh
لࣤڠْࢍَهْ,lěṅgah
تࣤڠࣤنْ,těṅěn
اَنْتࣤڠْ,antěṅ
دِيْلُؤْ,dilu`
چَاڠْكࣤمْ,caṅkěm
كࣤبَاءْ,kěba`
رَمْفُوڠْ,ramfuṅ
مُوْجِىْ,muji
تࣤرِيْمَا,těrima
كَاسِىْ,kasi
سَنْدَاڠَنْ,sandaṅan
فَالِيْڠْ,paliṅ
رࣤسِيئْ,rěsi`
سَاوَاڠَانَىْ,sawaṅane
سࣤدࣤفْ,sěděf
سࣤࢍࣤرْ,sěgěr
رافِئْ,rafi`
لَارَاڠْ,laraṅ
تُوْرَاهْ,turah
دُوِيتْ,duwit
لُوِيهْ,luwih
ڠَڠْࢍَوْ,ṅaṅgo
سࣤسࣤكْ,sěsěk
لَوْࢍࣤرَوْ,logěro
سࣤڠْسِتْ,sěṅsit
اَوْمَهْ,omah
كَامَرْ,kamar
بࣤرْسِيهْ,běrsih
تࣤرَاتُورْ,těratur
فَادَاڠْ,fadaṅ
بَاوُرْ,bawur
هَوٰى,hawā
چُكُوفْ,cukuf
بَدَنْ,badan
لَمْفِتْ,lamfit
كُوَاجِبَانَىْ,kuajibane
وَصَا,waṣa
ۑَمْبُوةْ,ñambut
ࢍَاوَىْ,gawe
ࢍَوْلَيئْ,gole`
رࣤزْقِىْ,rězqi
حَلَالْ,ẖalal
كࣤلَاوَىْ٢,kělawe2
ڠࣤرُوْمَاتْ,ṅěrumat
اَنَأ,ana
بُوْجُوْ,buju
فَسْرَاهْ,pasrah
بَوْرَوڠْ,boroṅ
مَاصَا,maṣa
بُوْدُوْ,budu
فَنْتࣤسَىْ,pantěse
ۑَمْبُوتْ,ñambut
دَاࢍَڠْ,dagaṅ
تَانِىْ,tani
نُوْفࣤرِهْ,nufěrih
لَوُهَىْ,lawuhe
خَطِيبْ,ḵaṯib
جُرُوْ,juru
تُوْلِيسْ,tulis
اَوفْسِيرْ,opsir
فُوْلِيْسِىْ,pulisi
كࣤلِيْرُوْ,kěliru
ڠُومْبَهْ,ṅumbah
رِزْقِىْ,rizqi
ࢍࣤمِىْ,gěmi
بࣤچِىْ,běci
ڠَنْطِىْ,ṅanṯi
چࣤطِيلْ,cěṯil
ࢍُوسْتِىْ,gusti
بَخِيلْ,baḵil
تَبْدِيرْ,tabdir
ࢍُوْنَا,guna
سُوْسَهْ,susah
كُوْلِيْنَا,kulina
تُوْكُوْ٢,tuku2
اَيْلِيڠْ,eliṅ
فࣤڠْهَاصِيْلَانْ,fěṅhaṣilan
هَنْتࣤمْ,hantěm
اَصَلْ,aṣal
دَوْيَنْ,doyan
زِيَارَهْ,ziarah
كَلَا٢,kala2
اَدُوهْ,aduh
مَونْچَا,monca
كُوْلَا,kula
نُوْوُنْ,nuwun
اُوْلُؤْ,ulu`
سَلَامْ,salam
سَلَامَنْ,salaman
سࣤنࣤڠْ,sěněṅ
كࣤسࣤلَامࣤتَنْ,kěsělamětan
تَامَوْنِىْ,tamoni
مࣤرࣤڠُوةْ,měrěṅut
ࢍَاوَا,gawa
كَونْچَا٢,konca2
سࣤڠِيتْ,sěṅit
نࣤمَاهَانَىْ,němahane
لِيرْ,lir
قُبُوْرَانْ,quburan
دُلُورْمُوْ,dulurmu
تِيْلِيْأَنَا,tiliana
اَرࣤمْ,arěm
سَاكِيتْ,sakit
تَاكَوْنَنَا,takonana
بُوْرُوْ,buru
سُوَىْ,suwe
فَامِيتْ,famit
ࢍُوْࢍَهْ,gugah
دُعُاءْ,du'u`
مُوْࢍَا٢,muga2
وَرَاسْ,waras
سࣤࢍَا,sěga
جَاࢍُوڠْ,jaguṅ
بࣤرَسْ,běras
كࣤفَاتَينْ,kěfaten
تَوڠْࢍَا,toṅga
تࣤكَانَنَا,těkanana
اَرࣤمْ٢,arěm2
تࣤلَاتَينْ,tělaten
مُوْࢍِىْ٢,mugi2
فَارِيڠْ,fariṅ
صَبَرْ,ṣabar
مِيْوَاهْ,miwah
رِضَاءْ,riḏa`
دِيْفُونْ,difun
تِلَارْ,tilar
مࣤجَهْ,mějah
ڠَافُوْرَا,ṅapura
ڠَوْنَوْ,ṅono
دُعَاءْ,du'a`
وَلِيْمَاهَنْ,walimahan
وَلِيْمَهْ,walimah
فَڠَنْتَيْنَانْ,paṅantenan
فَڠْࢍَوْنَنْ,paṅgonan
مَارࣤكْ,marěk
اَدُوْه,aduh
لَمْفَاتَنْ,lamfatan
سࣤدࣤڠْ,sěděṅ
مَنْدࣤڠْ,manděṅ
فَڠَانَنْ,paṅanan
فࣤرَايَوْࢍَا,fěrayoga
يَوْ,yo
اَوْ,o
يَؤْاَنْ,ya`an
بُوتْ,but
رࣤبُوتَانْ,rěbutan
سِئْ,si`
دِيْسِأَنْ,disian
ۑَنْدَاءْ,ñanda`
اِيْوَاءْ,iwa`
بَنْدࣤڠْ,banděṅ
وَاڠْسُولْ,waṅsul
ڠُوْلࣤمِىْ,ṅulěmi
مࣤرْسُولْ,měrsul
اُوْلࣤمْ,ulěm
ࢍَوْلَئْ,gola`
اَلࣤمْ,alěm
تَامُوْ,tamu
مُوْ,mu
تَومْفَا,tomfa
كَيْتَاڠْ,ketaṅ
اَتُوْرَانَا,aturana
سَأْفَنْتࣤسَىْ,sa`fantěse
هُرْمَةْ,hurmat
بَاࢍُوْسَىْ,baguse
كࣤمَاجُوَانْ,kěmajuan
مَاجࣤڠْ,majěṅ
سُمَاوَوْنَا,sumawona
مࣤمْفࣤڠْ,měmpěṅ
سࣤكَوْلَهْ,sěkolah
فَچِىْ,paci
زَمَانَىْ,zamane
كࣤسَيتْ,kěset
بُوْرِيْنَىْ,burine
اَوَاسْ,awas
ࢍُوْيَونْ,guyon
بِيْسِئْ٢,bisi`2
مࣤنْدِلِئْ,měndili`
مَحْرَمْ,maẖram
ࢍَونْچَأَنْ,goncaan
رَاتَانْ,ratan
مَالُوْ,malu
سُوڠْكَنْ,suṅkan
رِيْنَا,rina
بَونْچَيْڠَانْ,bonceṅan
ࢍَنْدَيْڠَانْ,gandeṅan
دُدُ,dudu
كَتُوْلَارَانْ,katularan
بَارَتْ,barat
كࣤلَانْتُورْ٢,kělantur2
ࢍَاࢍَهْ,gagah
تُوْرُونْ,turun
سَجَاء,saja`
اَنَىْ,ane
سَيَائَىْ,sayae
كࣤلَانْدُوْڠَنْ,kělanduṅan
مࣤرࣤڠُوْتِىْ,měrěṅuti
بَفَائَىْ,bafae
اَجَارْ,ajar
چَارَا,cara
اَيڠْࢍࣤرِيسْ,eṅgěris
سِيڠْكَيئْ,siṅke`
وَاتَاكْ,watak
وَاتࣤكْ,watěk
ࢍِيڠْسِيْر,giṅsir
تُوْمَا,tuma
اِڠْࢍࣤرِيْس,iṅgěris
لَࢍَاءْ,laga`
لَاࢍُوْ,lagu
لِيْوَتْ,liwat
ࢍَارِيسْ,garis
فَمُوْدِىْ,pamudi
فَمُوْدَا,pamuda
كࣤدَادَا,kědada
تُوْوَا,tua
بَفَا,bafa
